team,team_code,name,url
Dallas Cowboys,DAL,D.Prescott,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PRE285723.png
New England Patriots,NE,T.Brady,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png
Tampa Bay Buccaneers,TB,J.Winston,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIN623708.png
Los Angeles Rams,LAR,J.Goff,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GOF219636.png
Atlanta Falcons,ATL,M.Ryan,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RYA238179.png
Los Angeles Chargers,LAC,P.Rivers,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RIV651634.png
Philadelphia Eagles,PHI,C.Wentz,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WEN615770.png
Arizona Cardinals,ARI,K.Murray,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MUR670413.png
Green Bay Packers,GB,A.Rodgers,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png
Cleveland Browns,CLE,B.Mayfield,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAY483453.png
Chicago Bears,CHI,M.Trubisky,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TRU215336.png
Houston Texans,HOU,D.Watson,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAT338355.png
Seattle Seahawks,SEA,R.Wilson,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL777781.png
Cincinnati Bengals,CIN,A.Dalton,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAL659900.png
New York Giants,NYG,D.Jones,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JON165462.png
Oakland Raiders,OAK,D.Carr,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAR358797.png
Buffalo Bills,BUF,J.Allen,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALL529264.png
Carolina Panthers,CAR,K.Allen,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALL543234.png
Minnesota Vikings,MIN,K.Cousins,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COU709400.png
San Francisco 49ers,SF,J.Garoppolo,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAR363225.png
Kansas City Chiefs,KC,P.Mahomes,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAH401939.png
Jacksonville Jaguars,JAX,G.Minshew,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIN604610.png
Miami Dolphins,MIA,R.Fitzpatrick,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FIT792915.png
Indianapolis Colts,IND,J.Brissett,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRI516391.png
Baltimore Ravens,BAL,L.Jackson,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JAC323395.png
New York Jets,NYJ,S.Darnold,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAR466141.png
Detroit Lions,DET,M.Stafford,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA134157.png
Pittsburgh Steelers,PIT,M.Rudolph,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RUD321216.png
Denver Broncos,DEN,J.Flacco,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FLA009602.png
New Orleans Saints,NO,D.Brees,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRE229498.png
New Orleans Saints,NO,T.Bridgewater,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRI129168.png
Washington Redskins,WAS,C.Keenum,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEE690598.png
Tennessee Titans,TEN,R.Tannehill,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAN298716.png
Tennessee Titans,TEN,M.Mariota,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAR186347.png
Washington Redskins,WAS,D.Haskins,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAS285847.png
Jacksonville Jaguars,JAX,N.Foles,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOL058566.png
Miami Dolphins,MIA,J.Rosen,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROS357433.png
Detroit Lions,DET,J.Driskel,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DRI392790.png
Kansas City Chiefs,KC,M.Moore,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOO551757.png
Cincinnati Bengals,CIN,R.Finley,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FIN412269.png
